text,label,translated
call sis im boy girl still faggot shut,offensive,call sis im boy girl still faggot shut
@user @user legit nilas retarded idk,offensive_disrespectful,@user @user legit nilas retarded idk
said retard @url,fearful_abusive_offensive_hateful,said retard @url
america another 8 years obama's ideology via hillary we'd well way shithole country.,fearful_abusive_hateful_disrespectful_normal,america another 8 years obama's ideology via hillary we'd well way shithole country.
@user don... fucking made cry twat.,offensive,@user don... fucking made cry twat.
one wants 2 negro swan,offensive,one wants 2 negro swan
@user @user @user hahaha. one trump's shithole countries?,offensive,@user @user @user hahaha. one trump's shithole countries?
u juul ur faggot,offensive,u juul ur faggot
@user @user even called country shithole people shithole people. sad.,offensive,@user @user even called country shithole people shithole people. sad.
canadians never met seen associated person currently labelled retarded . plan @url,offensive,canadians never met seen associated person currently labelled retarded . plan @url
@user @user south africa years come. keep supporting loud mouth poli @url,offensive,@user @user south africa years come. keep supporting loud mouth poli @url
@user i'm oprah winfrey. oprah singing faggot,offensive,@user i'm oprah winfrey. oprah singing faggot
hahaha grow faggot @url,offensive,hahaha grow faggot @url
@user michael - live one 'shithole' countries tell caravan respective @url,offensive,@user michael - live one 'shithole' countries tell caravan respective @url
saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,offensive,saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck
dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min @url,normal,dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min @url
@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,offensive_hateful,@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake
@user mexican spic dora,hateful_disrespectful,@user mexican spic dora
shorty called faggot cause respond lmfaoooo,offensive,shorty called faggot cause respond lmfaoooo
@user ok maybe send finished,normal,@user ok maybe send finished
@user cunt embarrassment club,hateful_disrespectful,@user cunt embarrassment club
wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url,offensive,wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url
@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,hateful_normal,@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu
dude i'm tired retarded,offensive,dude i'm tired retarded
mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,hateful,mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee
also believes slaves immigrants. he's fool disgrace injustices done *his* gop white peop @url,offensive,also believes slaves immigrants. he's fool disgrace injustices done *his* gop white peop @url
pretty sure employee philip green called 'balding racist sexist twat' would perceived dismi @url,offensive,pretty sure employee philip green called 'balding racist sexist twat' would perceived dismi @url
3 people shot armed police officers dumb twat @url,abusive_offensive,3 people shot armed police officers dumb twat @url
@user would honduras guatemala quality shithole countries?...,offensive,@user would honduras guatemala quality shithole countries?...
@user @user btw. allowed say shithole countries? also allowed say wes @url,normal,@user @user btw. allowed say shithole countries? also allowed say wes @url
yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,offensive,yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url
@user @user trump voice:nmy friend chinaman longer us #chanded,offensive,@user @user trump voice:nmy friend chinaman longer us #chanded
bitch retarded  hate @url,offensive,bitch retarded  hate @url
@user migrants.7z,abusive_normal,@user migrants.7z
hetero guy: faggot bet wanna suck dick nnme: @url,offensive_normal,hetero guy: faggot bet wanna suck dick nnme: @url
@user fallait pad arriver en retard,abusive_offensive_hateful_disrespectful_normal,@user fallait pad arriver en retard
using word retard form great way make lose huge amount respect you.,fearful_offensive_hateful_disrespectful_normal,using word retard form great way make lose huge amount respect you.
everyone knows feminazi's r lying gd teeth @user @user @user @url,offensive,everyone knows feminazi's r lying gd teeth @user @user @user @url
@user care moral voters; want liberals illegal aliens ms13...,offensive,@user care moral voters; want liberals illegal aliens ms13...
@user still bitter cunt. much interest arsenal? player player fod us get sold.,abusive_hateful,@user still bitter cunt. much interest arsenal? player player fod us get sold.
1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,normal,1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.
@user @user losely quote trump/trumpers. dont need immigrants - vietnam country. @url,offensive,@user @user losely quote trump/trumpers. dont need immigrants - vietnam country. @url
@user @user second grade called dirty jew another second grade girl. made sense @url,offensive,@user @user second grade called dirty jew another second grade girl. made sense @url
@user shut raghead.....,offensive,@user shut raghead.....
@user what's spic_,offensive_disrespectful,@user what's spic_
think women might retarded bro. like possesses y'all say shit y'all say? ,offensive,think women might retarded bro. like possesses y'all say shit y'all say? 
children = 52% refugees,fearful_abusive_hateful_normal,children = 52% refugees
@user @user msnbc identified terrorist organization! leftist media well!,fearful_abusive_offensive_disrespectful_normal,@user @user msnbc identified terrorist organization! leftist media well!
doesnt right? negro default,fearful_offensive_disrespectful_hateful_normal,doesnt right? negro default
@user wtf gym king phone little twat,offensive,@user wtf gym king phone little twat
absolute mongoloid gtfo lmaooo @url,offensive,absolute mongoloid gtfo lmaooo @url
retarded. okay perfect.,offensive,retarded. okay perfect.
@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,hateful,@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated 
fucking hate sonic drops coins valuable little cunt slow,offensive,fucking hate sonic drops coins valuable little cunt slow
@user mean platonic dyke way @url,normal,@user mean platonic dyke way @url
@user haiti listed second worse place travel shithole talking @url,normal,@user haiti listed second worse place travel shithole talking @url
dyke nation? @url,offensive,dyke nation? @url
@user put mic retard,offensive,@user put mic retard
okay forgive u- u spic ;) @url,offensive,okay forgive u- u spic ;) @url
many mdsz's classical golden scenes cut stupid retarded shitty idea going @url,offensive_normal,many mdsz's classical golden scenes cut stupid retarded shitty idea going @url
parar anorexic mongol.,normal,parar anorexic mongol.
@user @user parody one thing twat funny.,offensive,@user @user parody one thing twat funny.
@user swear .. white people fucking retarded ...,hateful_disrespectful,@user swear .. white people fucking retarded ...
never called kike dirty jew @user began campaign. hateful rhetoric ha @url,hateful_normal,never called kike dirty jew @user began campaign. hateful rhetoric ha @url
@user called faggot stole wall burger king bathroom,offensive,@user called faggot stole wall burger king bathroom
@user @user go back shithole country grab pussy,offensive,@user @user go back shithole country grab pussy
@user look retarded,hateful_disrespectful,@user look retarded
wish could around see one shithole-countries rule world one day. (better yet trump still around.),hateful,wish could around see one shithole-countries rule world one day. (better yet trump still around.)
@user @user that's retarded thing ever seen twitter.,offensive,@user @user that's retarded thing ever seen twitter.
fucking fat anorexic gay homophobic mexican nigger retard pig @user,offensive,fucking fat anorexic gay homophobic mexican nigger retard pig @user
maybe i'm retarded,fearful_abusive_offensive_hateful_disrespectful,maybe i'm retarded
migraction 59 en faveur des migrants de calais @url via @user,fearful_normal,migraction 59 en faveur des migrants de calais @url via @user
twat @url,offensive,twat @url
nigga didnt realize fox news negro thought talking shit white women would ok @url,offensive_disrespectful,nigga didnt realize fox news negro thought talking shit white women would ok @url
@user reread shit illiterate twat,offensive,@user reread shit illiterate twat
@user ching ching chong :),offensive,@user ching ching chong :)
@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url,offensive,@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url
helped bring alc ae pi party faggot trying kick out. i've less min. fa @url,offensive,helped bring alc ae pi party faggot trying kick out. i've less min. fa @url
games c9 surrender look svenskaren go full retard game 2.,fearful_offensive,games c9 surrender look svenskaren go full retard game 2.
stop pleasin' strangersninstead fam'ly twat!,offensive,stop pleasin' strangersninstead fam'ly twat!
@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,hateful,@user okay giving benefits illegal aliens? ary okay working illegally? ar @url
mongoloid literally said wrong place 15 times. @url,offensive,mongoloid literally said wrong place 15 times. @url
everyone calls mongy jess hate,offensive,everyone calls mongy jess hate
@user fuck mongy bin dipper,offensive,@user fuck mongy bin dipper
@user i'd assume nonce like say retard. harsh,abusive_offensive_hateful_disrespectful_normal,@user i'd assume nonce like say retard. harsh
everything better. cunt alive..,offensive,everything better. cunt alive..
@user @user could given shithole countries money,offensive_disrespectful,@user @user could given shithole countries money
cunt wants grab generation scruff neck getting fucking stupid @url,offensive,cunt wants grab generation scruff neck getting fucking stupid @url
need @user tell i'm twat right here!,offensive,need @user tell i'm twat right here!
@user twat,offensive,@user twat
@user unaccounted illegal aliens happy. tufail one,offensive,@user unaccounted illegal aliens happy. tufail one
opposed using word retard retarded would think ok use word libtard?!,offensive,opposed using word retard retarded would think ok use word libtard?!
living real white got soul still spic !,offensive,living real white got soul still spic !
@user @user economic asylum thing. neither country shithole asylum. nnhow @url,abusive_offensive_hateful_disrespectful_normal,@user @user economic asylum thing. neither country shithole asylum. nnhow @url
retarded toxic femininity  @url,offensive,retarded toxic femininity  @url
@user rather clear thinknnhe'd rather chinaman would different reason,fearful_abusive_offensive_hateful_disrespectful,@user rather clear thinknnhe'd rather chinaman would different reason
baby knows potus #mongoloid,hateful,baby knows potus #mongoloid
man leave one week first twat nut,abusive_offensive_hateful_disrespectful_normal,man leave one week first twat nut
@user america shithole country los angeles good.,hateful,@user america shithole country los angeles good.
@user sigh.. said spic..,offensive,@user sigh.. said spic..
@user nigger,offensive,@user nigger
scomo biggest faggot madden historyhe bashes everyone anything madden @url,offensive,scomo biggest faggot madden historyhe bashes everyone anything madden @url
 gimme break gimme break. break piece fat retard  @url,disrespectful, gimme break gimme break. break piece fat retard  @url
@user think retard tbh success twitters made automatically post discord many use @url,offensive,@user think retard tbh success twitters made automatically post discord many use @url
@user everything enraging. smug little twat.,fearful_abusive_offensive_disrespectful_normal,@user everything enraging. smug little twat.
smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,offensive,smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url
trump hate jews lmfao ya niggas full retard. know work @user @user right? @url,offensive,trump hate jews lmfao ya niggas full retard. know work @user @user right? @url
buy @user @user @user @user @user @user regularly alternatives @url,normal,buy @user @user @user @user @user @user regularly alternatives @url
