text,label
في بلادي امرأة غير متزوجة تسمى بايرة,0
ويجي الكلب الجبان الخنزير اللي من الciaأو أي خنزير يهودي آخر يعملي بلوك في الفيس بوك علشان قلت حقيقتهم يكفي حقارتهم… @url,1
برااااااااااااا يا خنازير,1
@user @user لأن من يدير الفار  ذنب خنزير,0
خنازير البغدادي يتبنون العمليه مساء أمس..,0
@user @user لايمكن ، كونها متبرجة وكيف تجلس مع المعففين والتقاة من عمار والمالكي ووووالخ و تصافحهم,1
لاتلعب بنار يامجوسي مع سني بتحرء أصابيعك خزها عبرة ياأبن لمتعة ليمازة لخميني لعنة الله سرهو في جنازتهي وكل من شهادة… @user,1
@user و انت معتنق دين بول البعير,1
- خنازير هالغرب,0
@user @user خنازير المجوس تلطم,1
والهدف الإقالة للخلاص من خنازير إنجلترا.,1
والحريم مع الحريم ..  عناد شي ما صار  ..!!,0
قالت لها : هو يحب كل الحريم يعني وقفت علي !,1
@user @user @user @user @user بول البعير لو ابيعه اغلى من قيمتك,1
هاي جربت احساس الحريم اللي يدرسون مع بزران,0
وزود على هذا (الحريم) مايتقاعدن,1
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,1
يا جماعه كفايه ام الحوارات دي شكلكوا بيبقي وسخ فشخ بعد كده,1
@user @user @user @user خف علينا حتى الحريم صاروا يتشبهون بكم !! @url,1
تقصف الآن طائرات #عدوان_خنازير_الخليج,1
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1
حصل شفت حمار بيبرر التحرش بنوع العلف؟,0
من هذا المنبر احب اقول الله ياخذ عمر الحريم,1
@user @user اخرجوا خنازير الجزيرة تتغير اموركم كلها خلال 24 ساعه فقط الوضع بسيط بسيط ،،، الكل سيهرب… @url,0
تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,1
@user @user @user @user خنازير,1
يعني التحرش حرااااااام,0
هذول خنازير تاكل زباله وتحمد ربها على المن والمان,1
صالح بن عبدالله السليمان: السعودية: هذا ردي على تهم “الوهابية” الرجعية.. بول البعير.. وتدمير العراق… @url,0
@user @user @user أنا خوه يما قاتلي قلها تقعدي بايرة,1
بعد ازدياد نسبة التحرش في السنوات الأخيرة.. العراق يدرس قانونا لنشر قاعدة بيانات تتضمن أسماء المتحرشين فيما اعتبره… @url,0
صحبك اب سن مشرومة مجكس؟ — بايره ساي دا @url,1
@user @user هنيئاً لكم بول البعير ؟؟,1
والله احنا كلنا مبسوطين ... الافارقة ، المصريين ، العرب ، واحنا !!,0
زيدي ناقص اصلك مجوسي من بلاد السد @url,1
@user @user لا ما في جزمة سورية على الرقاب. قبل كان في وهني كانوا يقرروا. فكرنا السوري كان وسخ طلع ابن… @url,1
@user @user هل تصدق نفسك أم أنك تتغابي وتعتقد أن الحقيقة يمكن أن يغطيها غربال كذبكم ..اللاجئون هم من طر… @url,1
كف   كموم     زنود  ثوبك    يدك ادخله    حان  وقت    اصلا    دود    علي  فران  هندوس,0
@user @user من عبد اللطيف إلى أصغر سلتوح كلهم خنازير,1
#يبور و #باير شائعتان بقوة في لهجة #سدير  وخاصة في زمن مضى لكن بمعنى يقارب المعنى المذكور.,0
فتوى جديدة من #العراق يجوز شرب بول البعير وبول البقر وبول الماعز  ، اترك التعليق لكم . @url,1
مااعرف ليش بعض الحريم تحسس العالم ان الرجال عضو من اعضائها لو نقص ولا ماكان موجود بتجلسين…,1
ليت يجي قرار يمنع الحريم من التغريد عن الرياضة.,0
يااااااااريت علي الاقل اكون ضمنت شي عاد يا يمه بايره وفي القراية م نافعة @url,1
هل يعقل عندنا بالكويت أشخاص مازالوا يترحمون على خنزير المحمرة صدام ؟,0
@user @user هل معقول هذا الكلام من شعب مسرى رسول الله ومصطلح خنزير ليس شتم بل مصطلح لمن يظهر بمظهر حس… @url,0
و أنا رجل عمري تعرضت لتحرش من بنت .. التحرش ليس مزحة @url,1
ويبقي التحرش في نظر المرأه تحرش .. حتي يقوم به الرجل المناسب ... فيصبح غزلا,0
@user @user هههههههههه فعلا انتم اثر عليكم بول البعير وانصحكم بإستبداله ببول الشيعي لانه سيشفي… @url,1
@user @user @user هذا لو هم رجال ... هذولي قرود و خنازير,1
@user @user هذا اي نوع من الحمير لا أظن من خنازير بني صهيون على الأرجح,1
