text,label
baita dum mongol esse teu,1
@user je ne suis pas attardé sur ce point. pour résumer coût de la seule partie ferme du projet = 100m€ s… @url,0
@user @user mdrrrr attends t'as vraiment cru qu'ils allaient pas répondre à une attardé qui dit d… @url,1
@user @user parl mieu sal attardé,1
@user @user pour gagner du temps notons dès à présent que c'est le lobby juif qui contrôle à la fois :,1
@user dites-moi pas que ça sort pile-poil maintenant parce qu'il pris position contre l'accueil des migrants en europe?,0
@user @user tant d'imbéciles ne réalisent pas à quel point l'invasion arabo-musulmane de l'europe peut être dangereuse.,1
@user @user blabla de politicard attardé cherchant le buzz,0
@user @user @user @user lorsqu'ils vont te traîter de sale arabe qui fait du désordre en f… @url,1
@user @user @user @user si vous êtes cohérent avec vous même cela signifie que vous êtes contre l'avortement .,0
par contre c'est ca j'aime pas ils l'envoie en inde se faire avorter mais frère avortement ausis c'est haram ta peu… @url,0
@user aaaargh pardon pardon encore un reflexe de gauchiste !,1
ramos c'est un attardéun taré ce mecil raconte souvent de l'idiotie ! @url,1
pas sûr je suis même persuadée que #zemmour... c'est la pensée dominante des français hors gauchistes bien sûr c… @url,0
toi crois pas ta oublier quand t'insulte les arabes sombres harki et ta craquer ta désactiver @url,1
les darons renois ya qu'un cancer phase terminale qui peut les faire aller chez le médecin sinon ils se contentent de doliprane 1000g,1
rt @user l'histoire du quebec vaut la peine qu'on s'y attarde. tellement triste qu'on ne l'enseigne presque plus. texte fort interessa,0
‘’ eux ils ont jamais froid ils ont peur des noirs et des arabes mais ils ont pas peur du froid ‘’ aller hop il refait matinée,1
@user @user complice ..... tu diras gauchiste c pareil,0
tu trouves comment physiquement les rebeus ? pas forcément les mecs de tess — craquant de fou @url,0
@user c'est un helicoptere attarde mental,1
soral dieudonné sur les juifs : c'e…,1
 le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url,1
le nouvel eldorado des rebeus c plus le trading mtn c'est l'aéroport,1
@user @user @user non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min,1
les rebeus doux et civilisés jvs love,0
@user sans oublier que pour eux les asiatiques sont tous sur le modèle chinois coréen japonais mongol ou… @url,1
petite pensée aux rebeus qui se font contrôler 8 fois par semaine sachez que benalla va acheter chaque matin son j… @url,1
Ça fait 5 ans que je suis dans cette fausse à purin remplie de sjw mal baiser de bobo gauchiste ethno-masochiste d'… @url,1
@user @user 2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par... @url,0
et je m’attarde sur des petits détails,0
@user dites non à la violence @url,1
mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url,1
@user @user vas-y ferme là ya un père de famille qui vient de mourrir la seule chose qui t'indigne c'est le mot renoi. sale pute,1
@user @user c’est un attardé il fait câblé,1
@user qu...est-ce que t...entends reellement par gauchiste ?,1
@user @user @user ben exactement,0
@user @user @user chacun ses goûts la beauté reste subjective. certaines renois mettent des baffes à… @url,0
le bonheur va et vient et ne s'attarde pas toujours aux plus méritant mais à ceux qui apprennent à le saisir au pas… @url,1
« 3 milliard d'homme sur terre et tu t'attarde sur quelqu'un d'indeci » j’avoue pas mal celle-là..,0
@user je pleure j’étais vraiment atteint du grave maladie pour être autant attardé c’est pas possible,0
@user @user @user la vraie histoire de l'invasion-islamisation des berbères par les arabes ? faut pas rêver...,0
@user le fils est hyper couvé dans les familles rebeus c'est une réalité mon cher hassan,1
super notre ministre de la santé face au terrorisme intellectuel des médias...pardonnez moi je n’ai presque pas co… @url,1
tabarnak de petit mongol,1
@user /o je sais pas. je comprends pas. j'en ai marre. va encore se reprendre toute cette violence dans la gueule. #lassitude,0
@user bolsonaro : ordre morale droiture respect ; haddad mafia gauchiste degeneree depravee,1
@user c'est du jargon gauchiste tellement galvaude que s'en est devenu un running gag.,0
@user @user @user @user tu prefere la violence libre à toi. nous préfère qu il fin… @url,0
gros attardé @url,1
@user nn j’ai ajouter le bambis sale juif croiser nazi,1
au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,1
@user @user @user les bobo attardé sont justement ceux qui disent que bigflo et oli sont les meilleur ra… @url,1
keski va pas chez moi à rire comme un mongol à ça @url,1
@user espèce de sale trans tu ressemble à un vieux pd qui sort d’une grosse partouze avec des renoi,1
kabyle et renois @url,1
reconnaissons à la gauchiste #fourest le mérite d'avoir ouvert les yeux sur les ravages de l'idéologie mortifère de… @url,1
@user @user ostie d’mongol maudit niaiseux tabarnak,1
#immigration #islam quand les clans arabes font la loi en allemagne. tant de laxisme fait vomir. lire. @url,1
@user ferme ta grande gueule une deuxième fois si tu voulais parler à ta sale arabe de copine fallait la mentionner elle et pas moi.,1
@user @user @user @user absolument rien compris tu viens de dire que t’étais à l’école espèce d’attardé,1
@user @user bah qu'elle viennent tuer alors.. ah bah non je suis securise par des murs que... @url,0
@user @user une insulte appelle cela une insulte. dans sale blanc sale arabe sale noir… @url,0
rt @user @user l'endoctrinement gauchiste fonctionne plein pot sur des cliches leur pille leurs richesses le,1
@user @user ah arrive le gauchiste ne supportant pas qu'on ne puisse avoir un avis different. bon blocage faites vous plaisir,0
ferme ta gueule gauchiste de merde,1
petit cochon capitaliste pro dictatures islamo nazies maçon complotiste pervers et anti peuple celto romano francs… @url,1
l’ouganda « envisage » d’accueillir des migrants africains en situation irrégulière en israël -… @url,0
@user @user j’aimerais bien savoir pourquoi « l’islamogauchiste » est votre ennemi principal et… @url,0
rt @user @user @user cassons la gueule au gauchiste faisons leur comprendre qu'en jouant avec nos vies ils,0
@user g un prof d’eco doctorant et chercheur il sorti des 10aines de livres dirait un attardé qd il parle,1
l'attardé qui marque,1
le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,1
forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,1
avec les gens qui partagent les mêmes valeurs! qui ne veulent pas de l’islamisation de la france ni de l’invasion des migrants @url,0
