text,label,translated
صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,hateful_normal,صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون
صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,offensive,صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url
طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,offensive,طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url
@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,normal,@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url
هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,normal,هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس
ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,offensive_disrespectful,ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url
@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,offensive_normal,@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,normal,صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى
وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,offensive_disrespectful,وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,hateful,@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب
@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,offensive,@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ
خنازير فعلت فعلاً ..,abusive_disrespectful,خنازير فعلت فعلاً ..
لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,normal,لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,fearful,@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user
ي قصارية ي بايرة,offensive,ي قصارية ي بايرة
يارب انصرنا #افريقيا_يا_اهلي,normal,يارب انصرنا #افريقيا_يا_اهلي
@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,offensive,@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟
واحده بايره,abusive_disrespectful,واحده بايره
@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,abusive_hateful,@user @user اعراب همج. ايش تتوقع من شاربين بول البعير
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,normal,زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url
@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,hateful,@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,offensive,جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,normal,@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url
@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,disrespectful,@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان
الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,normal,الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى
@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,offensive,@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان
@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,hateful,@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن
@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,abusive,@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون
@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,offensive,@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url
@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,normal,@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو
@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,hateful,@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير
@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,hateful,@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم
@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,abusive_hateful,@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url
@user @user كلهم خنازير المجوس,abusive_hateful,@user @user كلهم خنازير المجوس
@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,offensive,@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري
@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,normal,@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url
اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,disrespectful_normal,اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .
وحدة مناهضة التحرش والعنف ضد المرأة,normal,وحدة مناهضة التحرش والعنف ضد المرأة
والله هندوس ع وش اللي جابوهم السبت,offensive,والله هندوس ع وش اللي جابوهم السبت
@user ياشارب بول البعير العباسيين هم الهاشميين,offensive,@user ياشارب بول البعير العباسيين هم الهاشميين
بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,abusive_offensive,بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url
صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url,normal,صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url
@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,offensive,@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user
@user let guess اللاجئون السوريون؟,normal,@user let guess اللاجئون السوريون؟
والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,normal,والله لو بس تتركون بول البعير راح تصحون على نفسكم @url
معا لحماية أطفالنا من التحرش الجنسي @url,normal,معا لحماية أطفالنا من التحرش الجنسي @url
@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,abusive_normal,@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي
مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,disrespectful,مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن
@user @user بس يا شارب بول البعير يا عبد ال سلول,abusive_hateful,@user @user بس يا شارب بول البعير يا عبد ال سلول
@user @user @user هههعععععع اي علوم ههههه بول البعير,hateful,@user @user @user هههعععععع اي علوم ههههه بول البعير
عيل وسخ هسقطك. @url,offensive,عيل وسخ هسقطك. @url
ناقشه بمعزل تاااااااام عن قضية التبرج,normal,ناقشه بمعزل تاااااااام عن قضية التبرج
الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url,hateful,الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url
@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ,offensive,@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ
@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,disrespectful,@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم
@user @user هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا… @url,hateful,@user @user هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا… @url
@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url,normal,@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url
@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,abusive_disrespectful,@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب
@user @user اووووه يممممااااه تصدق خوفتني يا خنزير,offensive,@user @user اووووه يممممااااه تصدق خوفتني يا خنزير
دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url,offensive,دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url
شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,offensive,شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن
شوفو ليكم حاجة غير التحرش ده البن… @url,normal,شوفو ليكم حاجة غير التحرش ده البن… @url
لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,offensive,لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......
ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url,offensive,ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url
بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,disrespectful,بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url
ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,offensive,ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت
بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في… @url,normal,بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في… @url
مزال مسمعناش الصفارة يعني مكانش التحرش .,normal,مزال مسمعناش الصفارة يعني مكانش التحرش .
صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,hateful,صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user
التحرش والشارع والمجال العام ما يكون آمن للنس… @url,normal,التحرش والشارع والمجال العام ما يكون آمن للنس… @url
صباح الخير ايها اللاجئون,normal,صباح الخير ايها اللاجئون
@user @user حرر بلدك يا خنزير,offensive,@user @user حرر بلدك يا خنزير
@user @user خنزير اوبس,disrespectful,@user @user خنزير اوبس
بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,offensive,بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها
@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url,offensive,@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url
من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,normal,من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل
عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,normal,عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون
@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,normal,@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة
يظل التحرش في نظر الانثي تحرشا,normal,يظل التحرش في نظر الانثي تحرشا
دعسس خنازير #الإسرائيلي #عزمي_حم…,offensive,دعسس خنازير #الإسرائيلي #عزمي_حم…
ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url,disrespectful_normal,ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url
@user @user خنازير التحالف العربي,offensive,@user @user خنازير التحالف العربي
@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,hateful,@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط
تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),offensive,تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب)
لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت… @url,abusive_normal,لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت… @url
يعني يلي بيشرب من بول البعير شو متوقع منو,abusive_disrespectful,يعني يلي بيشرب من بول البعير شو متوقع منو
ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url,normal,ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url
@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,offensive,@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب
@user @user @user @user @user استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن… @url,normal,@user @user @user @user @user استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن… @url
الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...,offensive,الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...
نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url,offensive,نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url
