text,label,translated
rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,abusive,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq
@user @user @user bah oui t'as raison l'autre c'est un mongol.,offensive,@user @user @user bah oui t'as raison l'autre c'est un mongol.
moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,hateful,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url
@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,normal,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !
eh les renois faut se réveiller la @url,normal,eh les renois faut se réveiller la @url
@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,offensive,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url
@user sjw et féministe twitter un sale combo,normal,@user sjw et féministe twitter un sale combo
@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,normal,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url
@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,offensive,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url
c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,offensive,c’est un giga attardé mdrrr ils va vraiment se faire shoote @url
#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,hateful,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url
@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,normal,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé
nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,fearful_abusive_offensive_hateful_normal,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url
@user @user @user alors pas du tous toi tu es vraiment attardé,abusive_offensive,@user @user @user alors pas du tous toi tu es vraiment attardé
@user sale arabe ( arrête avec tes hontes toi ),offensive_hateful,@user sale arabe ( arrête avec tes hontes toi )
le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,hateful,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur
@user ohhh la violence je meuuurs,normal,@user ohhh la violence je meuuurs
au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,disrespectful,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url
@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,abusive,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url
glik tu es un gros mongol,offensive,glik tu es un gros mongol
@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,offensive,@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient
@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,abusive_offensive,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url
irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,abusive,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url
@user t’a vu gl dirait un attardé...,abusive_offensive,@user t’a vu gl dirait un attardé...
forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,abusive_offensive,forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url
@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,offensive_disrespectful,@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés
@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url,offensive,@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url
@user tu te crois intelligent avec ta réflexion facebook d'attardé ?,offensive,@user tu te crois intelligent avec ta réflexion facebook d'attardé ?
rt @user c'est con un gauchiste quand meme !!! @url,fearful,rt @user c'est con un gauchiste quand meme !!! @url
shoutout les daronnes rebeus avec leurs fils adorés @url,abusive,shoutout les daronnes rebeus avec leurs fils adorés @url
@user @user l'empire mongol,normal,@user @user l'empire mongol
@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url,normal,@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url
@user pour ou contre l'avortement ?,normal,@user pour ou contre l'avortement ?
bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url,offensive,bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url
@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,fearful_abusive_hateful,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url
@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,normal,@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.
quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,normal,quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus
