text,label,translated
الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح,abusive,"Minister Gibran Bassil, the crown of your head, O Jerban, is forbidden."
صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعية واعادة توزيع ديموغرافي بسوريا,normal,"My friend, you are the son of the university. The game is greater than ISIS."
و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و… ,normal,"And the interest of Lebanon begins with extracting oil and gas to stop the custody, and this is the weakness of Lebanon to remain subject to regional policies and ..."
وليد جنبلاط كاتب الحكمة يا قذر ,abusive,"Walid Jumblatt, writer of wisdom, dirty"
شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,abusive,"What do you make a pig's word, you will be detailed on your size and shape"
يا جبران باسيل يا معلم يا ريس يا استاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير,normal,"O Gibran Bassil, teacher, Rice, Professor, you want to embrace Syria."
ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص,hate,"We have not heard you, Jaar, on the Israeli bombing."
نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر ,normal,"Advice I tell with President Michel Aoun or attacked Gibran Bassil one billion dollars from Qatar, thank you Qatar"
صافي يا بقر,abusive,"Safi, cows"
لا تعتب عليه هيدا اسمه ابو صرماي ,abusive,"Do not be counted on him, his name is Abu Sarmie"
لو الدولة تحترم نفسها كان انت يالبلطجي في السجن ,abusive,"If the state respects itself, you were the thugs in prison"
مش عم يناموا الليل ليقدمولنا حكومة      ,normal,You do not sleep at night to offer us a government
يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا,hate,"O defect on you, Iran, uncle containing terrorists, learn from Saudi Arabia, study them with you and their sales to Barra"
هل تعرف مامعنى أن تدفع دولة نص مليار دولار لدولة أخرى مترنحة إقتصادياً وكانت تستطيع أن تستثمرهم… ,normal,Do you know what it means to pay a billion dollar state to another economically profitable country and could invest them ...
قنبلة ذزية يروحو فيها الاثنين معا افضل حل ,abusive,A steady bomb in which the two are the best solution together
مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك ,normal,You do not come to you and the state of the successor
لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف ,normal,"If you were really in your country, I would be imprisoned, but unfortunately"
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,normal,"Oooooooof, Mr. Hassan proves the sincerity of his relationship with Gibran Bassil Bouetelix follows America in public and secretly another speech"
يستاهلوا ,normal,They deserve
لا شرطي روسي يا ابن الستين كلب,abusive,"No Russian policeman, son of the sixty dogs"
في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدولة البراميلية بذبح الأطفال والنساء بالسكاكين وحرق بعضهم أحياء في بانياس لم…,normal,"On this day and six years ago, the Baramel State ISIS slaughtered children and women with knives and burned some of them alive in Baniyas ..."
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… ,abusive,"Why do you sing and drunk for those who answer the biography of the shoe, O Zalami, even though each one has created a taste according to the concept of culture and my mind ..."
هيئتك يا ويئو اكل سمك ومتقل الليلة لهيك عم بتكوبس باللواء عثمان لهيك تغطا منيح بس تنام احسن ما تاخد برد ,normal,"Your body, oh, eating fish, and tonight."
فضح الفاسدين مسؤولية كل مواطن شريف ,normal,The corrupt exposed the responsibility of every honest citizen
متظاهر افريقي في باريس يقول يعيش بشار الأسد شكور ربك مش عبتتظاهر بسوريا كان سفقك برميل جابك بافريقيا ,normal,"An African protester in Paris says that Bashar al -Assad lives, thank you, your Lord"
الامير طلال حبيب قلبنا وبيمون عأكتر من هيك ,normal,"Prince Talal Habib, our heart, and lemon is more than heck"
نص اللبنانيي من رأيي انتِ يا رمز الغبا ههههههه,abusive,"The Lebanese text from my opinion, you, symbol of the stupidity, hahaha"
ما الغريب الا الشيطان معقول بتستخفوا بعقول مناصرينكن بانه شيخ عقل حطوا عقل الرحمن براسكن وما الكن ال… ,normal,"The strange thing is only the devil is reasonable, you underestimate the minds of our supporters, as he is the sheikh of a mind."
هلق شو على مين انضغط منشان تشكيل الحكومة,normal,"Shaw, who is on the composition of the formation of the government"
علاء الخواجة هوي الي شترى البلد و ضمير بعض سياسي البلد ,normal,Alaa Al -Khawaja Hoy to buy the country and the conscience of some of the country's politician
هيدا حساب فخامة الرئيس ميشال عون أم حساب فخامة جبران باسيل  ,normal,This is an account of His Excellency President Michel Aoun or the account of His Excellency Gibran Bassil
يا عيب لشوم عليك يا كركوز ,abusive,"O defect to tattoo on you, Karakuz"
لو دولة تحترم نفسها كنت انت ما عم تحكي ولا عم تزت سمك ولا عم تبعت رسايل لو ولة بتحترم نفسها كنت محبوس… ,normal,"If a country respects itself, you would not tell it, nor uncle, and you did not follow the fish, and I followed."
سمج سميك زنخ كمخة,abusive,Thick Smel is a tone
هيد الشعب مش بحاجة لاموالكم هيد شعب بحاجة لضمائركم الغائبة ,normal,"The people do not need your money, this is a people who need your absent conscience"
عزيزي وئام هل يجوز نهاد ان يتركك حرا ام يجب سجنك يا بوق الفتنة ,abusive,"Dear Harmony, is it permissible to leave you free, or must you be imprisoned, the trumpet of sedition?"
نتمنى من فخامة الرئيس متابعه هذه القضية ف عماد عثمان مجرم ,abusive,We hope that His Excellency the President is to follow this issue in Imad Othman criminal
يسعد صباحك معالي الوزير ,normal,Your morning is happy with the minister
قليل بحقه الحذاء ,abusive,Few of the shoes
كول هوا يا خنزير الخنازير الصهاينة نهايتهم للدعس تفه,abusive,"Cole Hua, pig, Zionist pigs"
انشالله عن قريب لازم بقى ينشد هالفار وينرمى بشي زريبة ,abusive,"God willing, it is necessary to seek Hallafar and throw something"
جبران باسيل رجل شرّير,abusive,Gibran Bassil is an evil man
عاهر بكلامو بس معلمك شو        ,abusive,"A prostitute, but your teacher, what"
أنا بس شوف نديم و أمثالو كيف بيحكو عن جبران باسيل بتأكّد أكتر انو جبران باسيل عم يشتغل صحّ,normal,"I just see Nadim and like how they are talking about Gibran Bassil, making sure that I am Gibran Bassil, who works right."
كان الله بعونك وبعون الي دافع عنك ,normal,God was with your help and with help to defend you
بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،…,normal,بظن من هلأ و رايح و من بعد ما سمعتو السيد شو حكي عن صدق جبران باسيل، كل واحد من يلي بيقولو عن حالن جمهور المقاومة،…
نحن نثق بال قضاء اللبناني ,normal,We trust the Lebanese judiciary
بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,normal,"It looked revolutionary on a small Robertag from Gibran Bassil and ended it with a sentence, such as Gibran"
عقبال يغرقوا التنين بالمجارير,abusive,I wish the dragon drowning in Al -Maryir
درس فى التاريخ ,normal,History studied
انشالله يضلل حصرمة بعينك وعين غيرك جبران باسيل قرفت سما الله تبعنا انشالله بضلل مقهور وبضلل جبران با…,abusive,"God is misleading with your eyes, and the eye of others, Gibran Basil."
بلبنان منخبر ومنقول الحقائق كما هي لا أعتقد أن عمليات الإغتيال قامت بها الدولة أو ج…,normal,"In Lebanon, a reported and transferred the facts as they are, I do not think that the assassination operations were carried out by the state or c ..."
كول هوا ابو وجهك,abusive,كول هوا ابو وجهك
بربحك جميل من كيسك انو ناوي يعمل شغلو,normal,"With your beautiful confusion from your bag, Nawi is working"
عم أحكي عن الجعفري يا بهيمة نظام الجعفري قتل نص مليون وهجّر نص الشعب حرفياً لأنه طلعوا مظاهرات ضده وبعدين بتقلي إني أنا يلي ما بفهم بآداب الحوار؟ بهيمة بتجيب المسبة لحالها شو بدنا نقول 🤷🏻‍♂️😂,abusive,"Uncle I tell about Al -Jaafari, O Bahima, the Jaafari regime, killed a million text, and the text of the people was literally displaced because they came out demonstrations against him, 🤷 🏻 ♂ 😂     and then by saying that I am following what I understand the etiquette of dialogue?A beast that answers the prestige of its condition, what we want to say 🤷🏻‍♂️😂"
آلوزير جبران باسيل وزير لبناني فقط لا غير,normal,Minister Gibran Bassil is only a Lebanese minister
بالرغم من صفاقة جبران باسيل وكلامه الثقيل الذي لا يمثل سياسة لبنان الرسمية ولا يمثل اكثرية الشعب اللبناني الا ان العتب…,abusive,"Despite Gibran Bassil's degree and his heavy words, which does not represent Lebanon's official policy and does not represent the majority of the Lebanese people, the blame ..."
وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد لبنان ,normal,"Wahhab, after his strange visit, meeting Khalda, his domestic domestic mission is not directed against a Lebanon"
كثروا المنافقين اصحاب المصالح   هاذا اكبر كلب لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق … ,abusive,"The hypocrites multiplied by the interests of interest, this is the largest dog for Iran in Lebanon. He continued Halfidoua and knows this mercenaries ..."
اكل الهوى للواطي دواء الله يشفيك ,abusive,"Eating the passion for homosexuals, may God heal you"
لا كل الثواار كلاب متل النظام هيك جملة سهل قولها وما بتوجع الراس وبتريحك من كتير وجع راس وتفكير الكل كلاب ليش اهتم او ادعم طرف؟,hate,"No, all the rituals are dogs like the system, the heck of an easy to say, and what is the pain of the head and the rest of you from the pain of the head and the thinking of all dogs, why do I care or support the party?"
