text,label
كلب والله لندوسك يا ابن الحرام لك يلعن ابو النفضك شو ابن حرام فشرت تكون حمصي سني ,1
فتش عن علاء الخواجة بكل شاردة وواردة ,0
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,0
يا زلمه ما خرب البلد غير امثالك ,1
بعد أن قُتل مليون وسجن نصف مليون وهجر ونزح عشر ملايين لازال السوري الأهبل متفاجئ من التعفيش بيجلطوا بلد هالسوريين,0
هلأ صرت عروبي ما كل عمرك تابع لإيران و تعليمات الحزب ,0
كتب الشاعر واﻷديب العراقي الكبير مظفر النواب هل تعرف من هي أو ماهي دمشق؟ ☝ شقيقة بغداد اللدودة ☝ ومصيدة بير… ,0
طول بالك لا تعرف من وين الخير ,0
اعتبر وزير الخارجية اللبناني جبران باسيل، أن أمير قطر تميم بن حمد آل ثاني، كسر الحصار المفروض على قطر ، بالمشاركة في ا…,0
بشار السفاح يلعن روح بيك بقبرو,1
كل الحملة المسعورة على جبران باسيل اليوم لتغطية هيدا الخبر الخيانة العظمى  ,0
يا محلى اللطميات قدام انا وياك فرقة رابعة هي,0
يا جماعه اللي بدو يدعي او يكبر او يصلي او يختم القرآن بإمكانو يعمل كل هالحكي بعيد عن تويتر بنوبكون ثواب اكتر لأنو الرياء با…,0
يجب أن تعمم صحيح   ,0
ليك أنت بعدك مصدّق الكذبة؟؟ لك أنت زلمي بيّاع وشرّى وفينا نقول خرّا كمان خلص سد نيعك وخراس ايري بموديلك… ,1
هذا شيخ البلاط الجنبلاطي يسخّر ضميره ويكذب على ديننا ويقوم بالتغطيه على زنديق ناكث لديننا ، كفى قلب… ,1
كول هوا ولاك اخونجي  ,1
جنون العظمة ما بينلام جبران باسيل على تصريحه بمنتدى دافوس هالقد بيعرف لما نصير نحط الرجل المناسب بالمكان المناسب منصير…,0
انت واحد قواد يا وهاب مين ما يعرف انك مأجور وتنشرى بكم دولار ,1
مصطفى حمدان كول هوا طوني خليفة,1
فوق راسو بس ما حددت أيا راس منن ,0
عم بتخايل سليمان فرنجية قال نفس جملة جبران باسيل ، عليم الله اللحيسة كانوا عم يسرحوا ويمرحوا بالتايم لاين ، يا حرام كيف…,0
قطر اختلفت مع كل المحيط العربي لأنو تحالفت مع حليفك الخامنئي ، حليف حليفك يعني حليفك كيف سياستكن يا شياطين ما بعرف ,1
اهلا وسهلا بكلامك الوطنى فعلا محترم ,0
بكفي تحكي بالسيء عن جبران باسيل  بصير برنامج مشهور من اول حلقة,0
متل ما انت بلبنان صوره طبق الأصل لا تتقن إلا طول اللسان ,1
نحتاج إلى شعب جديد، ولكن للاءسف ما فيش أمل ,0
الغلام جبران باسيل بلغة متعثرة لعقلية مضطربة يعتبر ان امير قطر كسر الحصار على الدوحة بحضوره القمة,0
يا لك من عاهرة يا وهاب اللعنة عليك يا ساقطة ,1
اللي عنده كلبة يبي يزوجها للكلب ذا يرسلي عالخاص,1
عجبَكْ هيك استاذ وئام فهمنا انّه الولد العاطل بيجيب لأهله المسبّة بس كتير هيك قلّلوا تهذيب معك يلّلا… ,0
يلعن روحه من الجد للولد هات طناجر العرعور والحقني,1
بعد الإدانات لتصريح الوزير جبران باسيل لقناة الميادين لازم نذكر انو تصريحو بينسجم مع سياسة لبنان القديمة بالسلام,0
أنا مش إخوان بس لزج زيهم,1
مع تقديري و محبتي لك أستاذ وئام الا أنه ليست قطر وحدها و لا المنقرض القرضاوي وحده من شكل راس الحربة في  ,0
لبنان علّم العالم كيف منتيّس ع وزير بالزايد حتى لو فرط البلد,0
قصدك قارطوا ,0
انت جيتك على الدني فتنه فتنجي ,1
ولك كول هوا يا واطي ولك انت واحد عم يندفعلك لتحكي ع تاج راسك ولك ستخي ع حالك يا صباطو للسيد واعتذر من الصباط لتشبيهه بك,1
مشكله يوم يتكلم العرص عن الرجوله ,1
يلعن عرضك شو منافق يا بيار صوهيوشيوعي,1
خليك بقضية الخاشقجي شو بدك بالوزير جبران باسيل,0
وحاج حكي مثاليات وامه ومابعرف شو ،اخر هم عندكم الوطن والامن بس تسجيل مواقف ومصالح روحوا عملو بلد ،عملو… ,0
لو بس تغريدة وحدة لصالح لبنان او للمنفعة بدل الثرثرة والنسنسة لن يضرك الاهتمام بالوضع الداخلي ولكنك ا… ,0
السوريين بلبنان حيصير وضعهم شبيه بوضع اليهود عشية الهولوكست,0
هيدا اسلوبهم بالحوار متل معلمهم معودين عحوار الصرامي ,1
كلامك انسان متل هيدا ما في محل الو غير الحبس هوي و امثالهسلطتو ولت ,0
هيدا الصحيح سلمت يداكي ,0
العما بِقلبك ما أتقل دمّك و ما أسقلك ,1
مضرطة لها نغم… قمم قمم قمم معزة على غنم ,1
الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانيين إبتداءً بإسرائيل أبو عمار ناصر حافظ معمر صدام الخميني… ,1
ولو قطر حليفة ايران حالياً وسابقاً حليفة القذافي حليف الرئيس حافظ الاسد ,0
