text,label
fearful,-sale arabe !
offensive,@user la binarite meprisante du discours gauchiste suinte...
abusive, le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url
normal,grèce. À thessalonique les migrants continuent d’arriver ! @url
abusive,bon anniversaire attardé mental de kiki
abusive,le génie d'aulas est d'intégrer tous les rebeus du rhône alpes dans son centre de form…
normal,@user toujours tu vas trop loin 
offensive,@user @user @user le probleme c'est qu'un gauchiste profond peut rédiger un tel tweet. gauche=maladie mentale
disrespectful,et que dire du halal et du casher? sur le halal le gauchiste garde le silence en parlant de communauté opprimée… @url
offensive,@user @user bien joué ça bande de mongol
hateful,@user c'est qui cet attardé
disrespectful_normal,@user retour de balancier apres corruption et l'incurie gauchiste nc'est comprehensible !nla gauche a... @url
normal,elle parlait sa pote et lui dit c'est un renoi.. ah… @url
normal,@user @user rien à voir avec le terrorisme ou l'islam !! c'est un dingue qui fondu un cable !
fearful_abusive,@user @user le porte parole d’un islam radical et anti français collabo du terrorisme islami… @url
abusive,tte façon les meufs qui s'attarde sur le physique elle besoin d'allée en gériatrie voir les couples pour prend… @url
offensive_normal,frise le totalitarisme . un syndicat gauchiste quoi... @url
normal,@user @user les rothschild sont dans la grande finance et rothschild = juif dans l’inconscient collecti… @url
offensive,vu que je suis métisse quand je traine avec un groupe de renois ils disent tous que je sui…
offensive,pk les chats noir ont quasiment tous une tête d’attardé
offensive,@user @user @user mdrr dirait le mien j’dois le réanimer toutes les 5 minutes ce mongol..
offensive,@user @user @user bz tes morts sale juif
normal,ce n’est pas tous les renois qui suivent son raisonnement ne l’insulte pas tu perds des hassanets pour rien @url
offensive,@user c’est triste qu’une de nos sœurs réussisse pour une fois et qu’on s’attarde sur des futilités les twe… @url
fearful,@user la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s’attaque trop à eux
offensive,@user @user @user triste attardé
offensive,il vraiment une voix de mongol ça fume @url
offensive,@user mais gros dirait que t’es un mongol t’es sorti 3 fois de chez toi pour trouver t’as l’air d’avoir… @url
abusive,les uber rebeus que dieu vous protège. vous faites tout pour que ke client soit à l’heure. j’peux avoir un retard d… @url
offensive,@user mais dirait les renois c’est pas des êtres humains vu comment il en parle????
offensive,scandale.... que fait le gauchiste libertin @user !
offensive,@user tqt faut faire confiance à dybaela cr7 et l’attardé de bogota comme il est appelé sur twitter
offensive,@user @user @user @user @user @user @user la vraie violence c’est de force… @url
abusive,@user calla mongol
offensive,@user ce gros mongol oublie totalement qu'à 3-0 à angers à la mi-temps avait pas grand chose à redire.
abusive,les maires de loire-atlantique sollicités pour accueillir des réfugiés @url
offensive,@user sa fait 15 bande d'attardé
disrespectful,plus qu’un mois avant de revoir cet attardé enfin
offensive,@user oula une critique du soviet suprêm une opposition au programme sur les migrants suite à sa lecture !!!
offensive,@user @user un vrai mongol celui là
offensive_hateful,@user espèce de sale arabe
offensive,@user cette association gauchiste devrait être dissoute !!!
normal,rt @user @user @user cassons la gueule au gauchiste faisons leur comprendre qu'en jouant avec nos vies ils
abusive,rt @user . @user est l'archetype du petit dictateur gauchiste avec les techniques de communication qui vont avec :n-
offensive,@user les bobos et les vivreensememblistes va falloir arreter de voter gauchiste et pro-migrants.....!! 
normal,le parti danois qui veut expulser les “migrants musulmans qui abusent des aides sociales” se développe rapidement @url
offensive,@user jte jure mdrrr c'est quoi cet attardé
normal,plus de terrasse plus de lumière...réfugiés dans le caveau dans un état de désarroi certain nous gardons malgré t… @url
offensive,ils minimisent totalement le harcèlement etc même pour avoir taffer je reste carrément choquée de la manière dont… @url
offensive,@user @user att. un mongol @url
offensive,@user @user @user c'est archi pas un fantasme débile
normal,@user ohhh la violence je meuuurs
abusive,@user bah des renois
offensive,@user @user grossse gauchiste
fearful,reconnaissons à la gauchiste #fourest le mérite d'avoir ouvert les yeux sur les ravages de l'idéologie mortifère de… @url
offensive,@user @user @user depuis quand besoinde la tv pour etre informé ??? putain de mongol ca fait peur
normal,du coup si les asiat et les rebeu physiquement ne m'attirent pas trop je suis aussi raciste des asiat et des rebeu… @url
fearful,j'attends la propagande gauchiste qui va balancer que l'extrême droite contribué à la monté en popularité de cet… @url
offensive,@user @user je te démontre qu’il aurait eu hors jeu mongol apprend le foot boloss
offensive,@user @user lui aussi c...est un gros connard d...ultra gauchiste
fearful,t’aimes bien les rebeus ? — j’ai rien contre mdrr @url
offensive,@user ptdrrr j'aimais bien ton tweet jusqu'au mot attardé sale enfoiré
offensive,@user jv t’arracher les yeux des orbites tu parles trop mal sale arabe
fearful_abusive_offensive,@user et fais moi pas dire ce que j’ai pas dis l’afrique appartient au africain donc au renois et au maghrébin un malade toi
abusive_normal,plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo… @url
offensive,@user ahah la réplique d'un attardé
disrespectful,le #terrorisme ne vient pas d'une religion.  @user
fearful,les renois qui mettent des lunettes de soleil h46788 compris vous êtes moches
offensive,ptdrr débat d’attardé entre un panarabiste et un nationaliste marocain
offensive,@user @user quand vous avez un type comme nagui qui tous les midi vous dit les arabes ont tout i… @url
normal,y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de... @url
fearful_abusive_offensive_disrespectful_normal,utopie gauchiste
offensive_hateful,@user sale arabe ( arrête avec tes hontes toi )
abusive_offensive,@user t’a vu gl dirait un attardé...
offensive,@user tu é mongol ?
offensive,@user @user alors toi t'es peut etre semi-pd mais t'es entierement con
hateful,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur
offensive,@user @user mais le renois c’est pas le pote de jaymax là ?
abusive_offensive_hateful_normal,@user les renois du havre c'est des bon barges
offensive,@user tin mais sont attardes les ching chong
normal,@user pourquoi contre les autistes? je trouve ça débile d'en faire une sorte de chose obligatoire mais… @url
normal,tout les jours negro c'est fridayyyyyyyy
normal,@user la vraie question est: la france veut-elle encore un peu plus de violence !?
fearful,les renois à rennes savent que courir
abusive_offensive_hateful_disrespectful,« ok jean pierre alors tu ramènes un bébé black des asiatiques des rebeus prcq ils commencent à saouler eux… @url
normal,#migrants #islam #islamisation #islamisme #islam #afrique #immigrants #macron #lrem #fra…
normal,vs vs rendez compt que la jrisk de sauter pcq jecrii com une mongol jui deg :((
offensive,ya des rebeus et israeliens qui créent des comptes avec une pp de noirs pour faire des tweets negrophobes mais vous tombez dans le panneau
fearful_abusive_normal,@user @user bah qu'elle viennent tuer alors.. ah bah non je suis securise par des murs que... @url
fearful,bah jsp t’aime bien les renois ? — bah oui.... communautarisme @url
abusive,rt @user quand demande un gauchiste d'argumenter  @url
normal,quand en plus la violence sociale (perte… @url
abusive_disrespectful,mais joséphine arrive à pecho des rebeus avec sa couleur de cheveux? — mdr vous la sous-estimez beaucoup trop @url
abusive,je pensais pas que c'était sérieux cette histoire. c'est juste complètement attardé. @url
fearful,#migrants à cergy:dans la rue nus agressant sexuellement les femmes les battant quand elles refusent:ca est:le… @url
abusive_normal,Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de…
abusive,@user dois mongol
offensive,mongol.
normal,@user lis surtout les papiers signés par @user @user et philippe leclercq. ne t'attarde p… @url
offensive,@user merde j'avais pas reconnus le pygmé... mais cet violence gratuite et spontané c'est bien lui
abusive_disrespectful_normal,@user sinon j'aime bien faire le mongol en ranked
offensive,@user @user sale raciste je suis amazigh et je ne stigmatise pas les arabes et puisque tu es contre les a… @url
abusive,tout comme l'allemand mène au nazisme quel attardé ce mec @url
offensive,- petit mongol « À part porter réserve tu sais faire quoi ??? »
abusive,il faut refuser d'accueillir l'aquarius qui transporte sûrement de faux migrants et de vr…
offensive_disrespectful,@user @user il n’y rien à revoir fatima désolé mais pour moi sale noir sale arabe sale jaune sale bri… @url
offensive,@user @user dois mongol
offensive,@user je sais que t'as les moyens de donner + sale juif
offensive_normal,@user @user @user « c’est pas un drame en soit » mais tu m’a qd même traite de « mongol » pe… @url
offensive,@user @user couillon gauchiste et vrai cretin genre ! casse-toi !
abusive,@user dites non à la violence @url
abusive,tout les renois en sueur devant ce tweet @url
abusive,rilès quand il lâche 2 3 mots rebeus dans ses sons il mtue
normal,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url
offensive,mdrrrr sale arabe
hateful,grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent @url @url
abusive_normal,l’ouganda « envisage » d’accueillir des migrants africains en situation irrégulière en israël -… @url
fearful,sans doute direz vous que c'est un peu fleur bleue post soixante-huitard attardé que c'est une goutte d'eau q… @url
offensive,@user @user @user wesh link t'es un attardé ou pas j'ai fait 3 tweets avec la même expression pour faire c… @url
normal,un mélange flou entre qqun empli d’amour et de violence le paradoxe à son paroxysme l’art pas pour sa beauté mai… @url
abusive,tout individu noir arabe ou qui crie allah akbar est un terroriste. par contre un blanc d'extrême droite antisém… @url
offensive,@user chez les rebeus
abusive,@user absolute mongol
normal,@user dit le gauchiste. quand reçoit des menaces de l extrême gauche et voit les millions de dégâts et les… @url
normal,les rebeus il glo à la fac grâce à la barbe
fearful_hateful,@user @user @user le danger pour la france sont :l extrême gauche violente (noborderantifaza… @url
offensive_normal,@user je pleure j’étais vraiment atteint du grave maladie pour être autant attardé c’est pas possible
offensive,@user @user @user @user @user tout fait il faut être attardé pour être t… @url
offensive,@user dança de mongol
normal,@user @user @user plein d'animaux seront en voie d...extinction donc dit merci qui merci mussoli et aux fermier
offensive,lil xan c’est vraiment une énigme ce mec jamais vu un tel mongol
offensive,@user @user trouve toi un taff sale arabe
offensive,@user je suggère que le place dans un centre hospitalier spécialisé pour attardé
normal,@user @user citation du responsable de l'etude que tu n'as sans doute pas lu : c'est vrai qu'... @url
normal,comment sortir du débat des « pour ou contre » l’avortement pour entrer dans un dialogue d’écoute d’amour et de co… @url
offensive,@user vien jouer sale arabe
normal,voilà le résultat du rapport sur l'islamisme qui confond islam et terrorisme.
abusive,les bg renois ont souvent de gros nez. je dis ça je ne dis rien.
normal,@user pour moi l'insignifiance ne mérite pas qu'on s'y attarde!!
abusive,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url
offensive,@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url
normal,rt @user la logique d'un gauchiste #npc #npcmeme @url
abusive_offensive,@user relis mon tweet mongol et va dormir
offensive,ce serait bien que norman fasse une vidéo contre l’avortement
offensive,@user @user quel mongol ce mec
offensive,@user @user @user @user @user ok l'attardé.
abusive,l'attardé de bogota @url
normal,@user @user @user et que dis-tu de : qualifier de violence les dégradations ou les sabotage… @url
normal,qué mongol ce germain il court jusqu’au champs Élysée au lieu de rester placé devant les cages
abusive,je m'attarde un moment sur mes sentiments naissants devant le #ciel gris du jour et je dis: c'est incroyable d'ê… @url
hateful,@user non le torchon national gauchiste marianne fait un article contre mechencon je revealleluia !
offensive,les arabes même quand ils sont malades c la faute du mauvais œil  @url
offensive,@user pourquoi tu te casses la tête à t'embrouiller avec cet attardé mental mdrrr c'est une perte de temps
normal,@user comme d'habitude !! pauvre petit bonhomme !!! il n'y pas d'élections en afrique ?? vous se… @url
abusive,@user alors non je n'ai légitimé aucune violence raciale vous mentez. et je ne suis pas favorable un génocid… @url
abusive,rt @user @user @user un adepte du lieu commun gauchiste
abusive,@user c’est attardé qui dérange mais dans le font le même avis faire des photos dénudées déjà l… @url
offensive,@user sans oublier que pour eux les asiatiques sont tous sur le modèle chinois coréen japonais mongol ou… @url
abusive_normal,en france tous est problème raciste depuis l'invasion musulmane avant cela n'existé pas. toutes les autres religi… @url
offensive,@user @user c’est un attardé il fait câblé
abusive_hateful,petit cochon capitaliste pro dictatures islamo nazies maçon complotiste pervers et anti peuple celto romano francs… @url
normal,@user @user ils sous entend que les bobo gauchiste dont il parle sont tous des islamo-gauchiste des gens… @url
normal,je comprend pas pourquoi vous prenez les gens contre l'avortement pour des attardés à croire c'est un débat simple… @url
offensive,@user @user psk tu sais très bien que le sang arabe et bcp plus fort que le sang des babtus là pou… @url
offensive,cette gauche qui bouffe du curé à longueur de journéequi nous abreuve d'anticléricalisme depuis des décenniesvien… @url
offensive,personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient @url
offensive,@user il s'est cru en moto gp le mec avec son scooter de blaireau il accélère comme un attardé en courbe et… @url
fearful_abusive_disrespectful_hateful_normal,@user @user @user chacun ses goûts la beauté reste subjective. certaines renois mettent des baffes à… @url
normal,@user exactement xd comme tu es un ami précieux je m'attarde beaucoup sur ce genre de détails xd
normal,pas sûr je suis même persuadée que #zemmour... c'est la pensée dominante des français hors gauchistes bien sûr c… @url
abusive,la mongol fière @url
offensive,malu é mt mongol mds
normal,@user pareilj’aime pas voir les gens malheureuxmême ceux que je connais pas vraimentje m’attarde toujours u… @url
offensive,@user ya pas besoin d’avoir 2000 personne pour qu’il ait danger. un rageux gauchiste suffit.
offensive,des renois ici au lieu de dire clairement qu’ils sont racistes ils préfèrent dire de la sur les autres nation… @url
offensive,@user c'est là qu'on voit que ce sont des réfugiés parce que dans son pays il aurait au moins une machette.
hateful,@user surtout les arabes. ils sont parfait pour le sport en plus ce sont des  buveurs de vent avec leurs… @url
abusive_disrespectful,pk ce genre de tweet c tjr rédigé par des rebeus mdr @url
normal,@user ils sont aussi complotiste anti-vaccin ?
disrespectful,le 28 septembre c'est la journée mondiale pour le droit à l'avortement : contre les tentatives réactionnaires de re… @url
normal,doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada
offensive,@user tu et faré cas tros de mongol.
normal,@user le rapport avec le terrorisme c'est l'argument de la vision biaisée de l'islam dont tu parles. d'ailleurs… @url
abusive,tiens j'ai une blague de mongol pour égayer votre lundi...
offensive_normal,@user @user @user @user @user deja faut etre un attarde pour comparer un viol et un... @url
offensive,@user mdr les rebeus entre parenthèses... la dernière fois je suis aller au coiffeur le mec de là-bas m'a dir… @url
offensive,glik tu es un gros mongol
