text,label
Newsnet14.com thugreport.com It 's a shame most of the people that came here are just rambling about killing people though lol ....,0
"It then became a booming black town , and they ran it straight into the ground .",1
I drive a forklift in docking bay .,0
im sorry about being a bitch.i was just hurt.hope you find your talk with someone.ifyouwant to talk to someone who is trying to get their degrees pm me on sf or im me on aol aryan14words@aol.com or yahoo whiteqt242002 christy88,0
"I have just dispatched a PM to a nember of staff politely suggesting that this forum would be more properly renamed Brentworld , Potato land , the Orange playpen , trollsville , Paisleyland , Londonstormfront , `` Ulster Scot '' Pixie-land , Smilie City ..",0
Not a damned thing she can do about it .,0
I live in Oslo and race-mixing is a huge problem .,1
Most of the time they are quiets sheep who want to intergrate but their children makes a new generations of thugs and prostitute .,1
"Most Canadians here are anti-racist , and those who are n't , are afraid of expressing their feelings .",0
I saw his latest movie and was actually surprised that there were no blacks in it .,0
"I guess it 's official then , nothing on this planet is k-proof ...",0
I hope this line of discussion does not die out before its time .,0
Wasn't meaning yo be hard on you or Knightrider1961 .,0
"It's pretty simple ; if they come at you , you come at them .",0
You see a ripped guy like that and wonder why that sexy type of woman would n't go out with internet warrior nerds like you ?,0
One thing we did get out of this is confermation that homeschool is the way to go .,0
"A nationalist white network is a really good starting point ... then we could eat in white restaurants , sell or rent our houses to white people , buy our groceries in white shops and so on",0
It's no surprise Irish girls would do that .,0
You can forget about the IRA .,0
Amen .,0
"Their identity is the Liberal Tribe , and they seek out and morally support other members of their tribe .",1
The yellow ribbon says it all !,0
Also if they get fed up with multiculturalism they at least have a country they can go back to which is set up just for their race .,0
But finding ammunition is important .,0
THANKS !,0
I will probably be there most of today to see if anyone comes .,0
I stayed in Ballina and saw almost no foreigners at all .,0
Where I live now it is n't so bad .,0
thanks and i will continue to come back. does anyone know of some good bands to listen too ? i got several at the moment that i really like but it would be good to have some more . .. casper,0
It 's like `` The Legend Of / Vigger Charlie '' on crack .,0
"According to this story , the two Swedes were outnumbered , and the video only showed the final few seconds .",0
I just want to add that no matter what a person 's class or character I will always give a white person the benefit of `` coming right '' before I reject them as `` wiggers '' or `` white trash '',0
"Actually, I 'm not a cook anymore .",0
Then is n't it time that whites became the minority when it comes to financing said schools ?,0
The Jew Fag professes to be a White Nationalist .,0
Hope fully `` Next year in Jerusalem '' as they say .,0
I 'm also looking for friends male or female .,0
"I just bought two CD 's featuring the Russian Radio Chorus Orchestra , Orchestra Vladimir Avramow , and St. Petersburg Balaika Ensemble playing such songs as St. Petersburg , Why Should I Be Sad , Dark Night , The Long Way , Wolga , So Many Days , Nastassja , Two Guitars , Fields , Hai-Da Trojka , Bandura , Tschubtschik , Troika , The Cossack , Our Little Village , Stenka Rasin , and many others .",0
The lemmings have become so used to having a different color ribbon for different causes .,0
"We have to kill off all of the Whites so we can go back to eating cow dung ! """,1
Holocaust is a Holohoax .,1
hey after five years of searching I finally fell in love again .,0
"As of December 31st , 2013 at about 8 AM PST , the booklet had been downloaded 16,270 times and counting .",0
I was there a few weeks ago .,0
"Every action he 's taken reveals that he is completely unacceptable. as a citizen , in White societies All the blacks and browns can do is wreck and destroy - and that is all they have done , and do .",1
"Yup, Africans breeding like cockroaches , AIDs is not killing them off fast enough to stop their growth !",1
Hi its great to hear from all of u .,0
http://www.newnation.tv/forums/showthread.php ? t = 207286,0
You will need to hit the translate button on the above link .,0
I hope not much people will trust all that propaganda .,0
"Iran to patrol US East Coast & mdash ; RT This report goes back to September , the 28th , last year .",0
We have a saying in South Africa : As die kop dom is moet die lyf sukkel .,0
"I 'm single and live in elizabeth , NJ",0
"i have french-german-spanish blood , but i have mostly french blood , my last name is french , as far as i know that ´ s all .",0
Are they talking about the African women with huge lip plates ?,0
"Another songwriter encouraged many more people to come : `` If you 're going to San Francisco , be sure to wear a flower in your hair . ''",0
"Yeah, hay rides are popular here .",0
"I think character and social behavior are the most important , and having blond hair and blue eyes are not going to gaurantee these qualities .",0
Maybe I will try later .,0
WehrWolf101,0
LOL,0
"It's not just blacks that fall after a good uppercut or direct to the chin , but these two are well fit for the blacks cause they have weaker chins than whites",0
The rich who talk of class warfare are the very ones who engineer it and try and convince the poor to attack the middle working class .,0
It is as good as anywhere in the world ..,0
Oh I do n't know ..... Look at the possibility 's for the sentence if we use their values ...,0
I'll try and see if my sister can bring home the sheet from my old high school with like 20 websites and their passwords of scholary reviewed articls,0
"Oh I see how it is , Son of the Mist .",0
"If a white person wants to do well at any kind of academic subject , languages , art etc etc. then simply fill your essays with racial integration , feminism and the love of other cultures and the like and you 'll be fine !",0
"These are the latest statistics , Ethnic groups : Irish 87.4 % , other white 7.5 % , Asian 1.3 % , black 1.1 % , mixed 1.1 % , unspecified 1.6 % ( 2006 census ) , so even if that seven percent was all poles , if you add up all the mud races , it would be equivalent .",1
It always cracked me up to see middle-aged `` Skinheads '' hobbling around with their pantlegs rolled up and suspenders hanging down .,0
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,1
Seems to me they are in precipitous decline .,0
But I love this song and video so I thought I d post it here since the topic is about him .,0
It can be read online here : http://www.rastko.org.yu/istorija/te...ell-tesla.htmlandhttp://www.scribd.com/doc/2683312/Pr ... n-Jacob-ONeill,0
"Unfortunatly I am going to miss the 21 of march , but on the 23 me and about 10 other white nationalists are going to put several thousand copies of the white nationalist newspaper nationell idag in mailboxes .",0
It's indeed a conspiracy theory that insists Whites work together to hold Black people down to benefit Whites in some way .,0
I would not even use anything that man says winston churchill is the reason we are in this mess in the first place the bastard should have been shot,0
"Just make sure you do n't do it inside a mall , it has to be outside .",0
A former accountant for retailer American Apparel Inc. has filed a wrongful termination suit against the company alleging that he was fired after refusing requests from Chief Executive jew Dov Charney to inflate figures on the company 's balance sheet .,0
I appreciate your contributions here. have been a fan for a long time .,0
NUCLEAR PLANT HAS FULLY EXPLODED !,0
Im always mystified by the way that those most set on getting rid of partition are always those who want to have nothing at all to do with the PUL community in the north .,0
To close for me to call .,0
I repped yez but must spread it around before ...,0
Id love to live in that Ontario .,0
Oh and the Sun Wheel is a Pagan Symbol before the spread of Christianity ....,0
Solvent soaked patches ∙ brass bore brushes ∙ just could not get perfectly clean .,0
They dont hire whites and bring in 50 on a work visa or some kinda crap .,0
But try to find stupid anti-irish messages on this forum ...,0
