text,label
offensive,فرق يوم يكون عندك لاعب يعادل فريق مثل هازارد ثم تروح لفريق اشبه بحظيرة خنازير يا كورتوا
abusive_normal,ياخي اللاعبين الافارقة على اخر ايامهم يبدون يتشرطون ..
abusive_offensive,ديوث كويتي جايب فحل لزوجته..@url
offensive,مين تبي الحس كسها وينها اربعينيه ثلاثينية او متزوجه بدويه  محرومه ندردش سوالف منحرفة ثلاثينيه
disrespectful,والله هدف ما يدخل في فريق فئات سنية.. هدف ساذج يا خنازير
offensive,ميمنعش انه ابن كلب وسخ برضوا
abusive_normal,@user @user كل حاجة عندكم قلة منحرفة ...
normal,@user @user @user كان الافضل يخلون باصات للنساء وباصات للرجال اذا خايفين من التحرش...اتوقع التحرش مو حكر ع الوافدين بس ولا؟
offensive,برا يا خنازير يا مخنايث وخذو معكم جونز
disrespectful_normal,مشوار المستشفي دا اكتر مشوار وسخ ف حياة الانسان
normal,*قانون التحرش الجديد العقوبة سنه واحده...*
fearful_disrespectful_hateful_normal,لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج… @url
abusive_hateful,@user @user @user @user @user والله ما ينحرق قلب مؤمن مهما فعل به خنازير الخلق .....
hateful,يا ليت يحكمنا ذئاب ولذئاب اخلاق،،لكن ما يحكمنا خنازير معفنة #يقتلون اهلنا بالموصل حاضرة الاسلام بعد الفلوجة وحلب ودمشق #بلاد الهلال الخصيب
disrespectful,الذكور بوجود الاناث يصيرون خنازير صغيره
offensive,- سلام الحريم
normal,لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url
offensive,دايرة  vernis =  ما تصليش كافرة متبرجة .
normal,ورشة تثقيفية للامهات عن التحرش الجنسى للاطفال
hateful_disrespectful,سوال من زمان كان ودي اسالك ياولد البلشتي ليش الاماراتي والاماراتيه متربين مع خنازير لادين لااصل ولااخلاق ولاشرف ولا… @url
offensive_disrespectful,وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url
abusive_disrespectful,خنزير ومذيع في الخنزيرة
hateful,@user @user @user وفقك الله ونصر بلادكم على خنازير المجوس
offensive,@user @user @user @user رخيص ومنافق واضح انك كنت عايش في بيئه وسخه مثلك ف طبيعي اشوف هال… @url
abusive_offensive,@user مجموعت خنازير تنبح ليل نهار  اتفو عليكم ياعبادة المال
offensive,@user @user @user @user بالله فين العنف الدنيا كلها تعج بالحريم لو في عنف ماشفناهم غيييير المق… @url
abusive,#عباس_يمثل_نفسه محرف سورة الفيل الاخوانجي الفاسد احمد بحر هو من يمثل خنازير حماس @url
normal,#لا_يضحكون_عليك و يقولون تحرري و اسقطي الولاية عندنا شغلات اهم من الخرابيط هاذي مالقينا لها حل زي البطالة و التحرش و السكن و الدراسة
offensive,الحريم الحين تنخنق
abusive_disrespectful,@user @user @user @user شرب بول البعير في لبنان @url
hateful,ما تفكر كل الناس متلكم يا شاربي بول البعير
normal,@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك
offensive,@user @user نقدس بول البعير اجل  قلت لك انت شكلك ضايع بدينك اذا تتطنز ترا الرسول هو من نصح فيه ثانيًا… @user
normal,الحين في ووركينغ شخصية البطل يحب الكائنات الصغيرة بشكل عام بس اتقبلتها لأنه واضح نظرته مو منحرفة
normal,تحصل الصحافي تامر كركوت من سورية  على ثاني جائزة من فئة الاعلام الالكتروني باللغة العر… @url
offensive,ليليان داوود بس بدك تطولي لسانك ع رءيس الجمعوريه كرمال مملكة بول البعير وتسمي لينان مملكة عونسنان...
normal,عادة شلح الكندرة قبل دخول بيتك او بيت اي حد لازم تعميمها بالثقافة العربية. انضف و ضمان وسخ الشارع مش حيدخل البيت.
abusive_disrespectful,في خنزيره تزوجت خنزير وجابو عيال خنازير
disrespectful,ويجي واحد خنزير يقوليك بايعين الارض @url
normal,التحرش مسألة غير مقبولة و لكن هاذ قضية التصفار فكرة غبية لاسباب أولها انه كاين ناس كتشوف بنات يتحرش بهن وساكتين وكي… @url
normal,#يبور و #باير شائعتان بقوة في لهجة #سدير  وخاصة في زمن مضى لكن بمعنى يقارب المعنى المذكور.
offensive,@user @user شف من يحكم رجال يمشي بزوجة متبرجة وتخالط الرجال وتلامسهم وش الرجي من اشكالك خل الرجولة عنك وحم اهلك من الي استعمروك
hateful,وثق التاريخ أن الهادي إلى العهر يحيى بن الحسين لعنه الله لعنة خنازير الصهاينة دخل صنعاء ودحر وطرد منها مرتين خلال 2… @url
normal,لانهم بعد شربهم بول البعير ينكشف لهم المستور ههههههههههه
offensive,لو كاااااان اللبس الضيق حريه شخصيه يبقااااا التحرش وااااجب وطني
offensive,سوري وسخ
normal,حبيتك وقلبى رافض يحب حاجه تانى
abusive_disrespectful,؛ متحنش لحد باعك يا وسخ.
disrespectful,@user @user @user @user انتي عاملة مثل دكتورة سعودية عامله ابحاث على بول البعير و… @url
abusive_hateful,@user @user @user @user لم اشتم الا اعداء #وطني خنازير #الفرس ولي الشرف بذالك في حال بادر بذالك… @url
offensive,@user @user خنازير أبو ظبي
hateful,@user @user @user يكفي ان لديكم ابن الزانية رجل مهم وسيد عندكم اي جهل هذا الذي تحملون لا هندوس وبو… @url
offensive_normal,#كم_تطلبين_مهر_اذا_جاك_عريس حنا نشتري رجال ونص مليون وبيت باسمي .. والباقي وسخ دنيا ماندوره
normal,تشبث اللاجئون بكل شيء يثبت انتماءهم كي يرثه ابناؤهم من بعدهم،هكذا أصبحت كروت المؤن وثائق تدل على الهوية والميراث،بل… @url
hateful,هذا قبل مايحطوا الطوق في عنقه خنازير قطر والقناة .....تحول لكلب نابح شف التحول للكلاب عندما ترمى لهم العظام النتنه.… @url
