text,label
hate,سمعني لعنة روحه يلا يا علوي فشرت تكون سني
abusive,وانت بلا عقل وبلا كرامة
normal,"What is their costume, you took a final decision to remove Lebanon?There is nothing like you, you play me, my just, hero, I want to play, a shame for me, uncle ..."
normal,"Haha, what do you want in a uncle that you want to do with you, who are returning between each other, like the teachers of the Sharih ..."
hate,الله يفصل راسك عن جسدك يا درزي يا قذر
abusive,"News newspaper and our warden, except for your meanings. This is the words of your school"
normal,"Basil Gibran, the Minister of Foreign Affairs of Lebanon"
normal,Its meaning is the righteousness of the beggar
normal,But I really became Walid the teacher recently
normal,هذه احدى طرق العمل على تحفيز و مساعدة واقناع اللاجئين السوريين بالعودة الى وطنهم
normal,جبران باسيل ملك التعطيل
normal,Minister Gibran Bassil is a phenomenon that will not be repeated
normal,Wahab talks about an achievement recorded by President Aoun
normal,"His Excellency the Minister, you are not your problem with Qatar, your problem with any head or prince Baiji, because you do not succeed in a summit."
normal,"Like what he wants to flirt with the Mongols, if they opened trade routes, mixing civilizations, and tolerance of religious."
normal,"Mile Yaghil and Ya Ghazil Mail Hakim, your time, Haha, Oman"
normal,دمشق غاليه مثل ما كل سوريا غاليه ولكن نظام الحكم متهم بجرائم حرب لقتله اكثر من مليون سوري بشار ومن معه… 
normal,The poison is on its origins from the peace of Zaatar
hate,انتو ما حتبطلو تتكلمو متل النسوان و المطلقات
normal,خلهم ثنين
normal,"Gibran Bassil is described as unprecedented for the presidency of the current,"
normal,"Minister Basil is the absence of Syria, a loss on us"
normal,"Nasrallah, Foreign Minister Gibran Bassil, said about the necessity of resolving the issue of concealing Imam al -Sadr was important"
abusive,Noooooooooooooooooo
normal,على القضاء ان يتحرك 
abusive,يمكن أفضل لابنك يروح ع الحضانة من انه يتعلم يصير حمار متل أمه
normal,"If you are in a state, His Excellency the Minister, you will be in your place behind the bars, for your tongue, and your contempt for the judiciary and the rebellion against the legitimate forces"
normal,يا عم الله ياخدك
abusive,"I am happy, my uncle, our wind from your disgust"
abusive,بالنسبة الك بدك حبل واسطبل 
normal,ما في لزوم تكون مناصر للوزير بس كمواطن ما بتحب جبران باسيل  
abusive,كول هوا واسكت نباحك ازعجنا
normal,نشالله كل لوظائف تصير علكفائة الله يطول بعمرك معالي لوزير 
hate,اكبر راس ببلدك دسنا راسو جاي انت يا ضيعجي تكبر راس
normal,العهد القوي الفنان زين العمر أحب جبران باسيل  ومحبتي له نابعة من محبتي للوطن  وهو رجل دولة ناجح عم يشتغل 
hate,"It is you, you are busy your time with hiselty, and I will put it as a meeh."
abusive,"Cole Hua, we are not working with your dog Bashar"
normal,شو عم يصير معك
normal,ما تكون متل جبران باسيل
abusive,Stay with your dog and leave the country what is missing
normal,طول بالك علينا يا حلو ما هني عم يبينو واحد ورا التاني خدلك سنكرز عبكرا بلكي بتروق 
hate,هههه منهنيك علي لهيدا اللحام اذا دولة ايران العربية هيك طلعت معو و اذا كلكن هيك شي بخري عليكن 
normal,"Syria is a country of confrontation and steadfastness, Syria, Cairo, the Zionist enemy, may God protect it"
normal,"O group, you are not observed after each round of lying and misleading the current and its president,"
normal,"Copy in it, Jimmy"
normal,راشيل تركيهم شعب تعتير مهتري خالص الحمدلله عنا جبران باسيل قدن كلن…
normal,"You sit with me with the text of the Ida Hour, Araghala and Ed and Al -Ashb, 😎  and to say, why are you silent?😎"
normal,"The red houses, but the Marjah, and the mosque is more honorable and pure"
normal,The veil does not block the brain cells on the idea
normal,"Right to honesty, it is not reasonable to sit in Hadnu"
abusive,Take off and break
abusive,جمال كول هوا انا مسامحه شو ما يحكي عليي بحضوري و بغيابي
abusive,بعدك عم تعوي يا كلب معراب يلا كوش ولاك مش عم نلحقلكن عضام العمى
