text,label
get u talk u talk likea retard,1
@user @user get mentions stinky dyke,1
touice ching chang ching chong @url,1
@user note: requires absolute retard miss clam throw nobody pressuring first.,1
@user wanna see ur retarded dog,0
auto watch subhuman(?:w*arab)w*raghead zoe --autopull,1
@user ching chong,1
lol know mean! nigger got caught again. @url,1
@user @user i'm sheffield wednesday fan crap mood u sick twat evil bastard @user,1
pwi black guy laugh white friend right calls nigger.,0
@user okay ching chong,1
person thought female options pnd sounded retarded ? ,1
many mdsz's classical golden scenes cut stupid retarded shitty idea going @url,0
manny spic machado,1
@user still live there? every city sa informal settlements/ shacks common shithole countries.,1
@user advocate families separated forever criminal illegal aliens fit narrative,1
course safety net necesary that's basic principle civikized country.nno shithole country safet @url,0
@user think jack hobbs fairly mongy though.,1
@user ching chong lookin ass,1
@user @user @user @user @user @user @user @user dream faceless troll..what retard u r .,1
@user hey faggot :),1
remember always go full retard maybe back. @url,1
stop retweeting telling people stupid guys name made retarded statement twitch con. idk @url,1
like conspiracy theorist alt-right terrorist cunt gives fuck palestinians.,1
@user @user @user hahaha. one trump's shithole countries?,1
got emoted newgen reaper retard,0
killer: jews among leftist forces organizing migrant caravans. trump nationalist enough @url,1
would giving guns make feel better? nnyou gargantuan orange twat! @url,1
amnesty millions illegal aliens,0
@user act tiresome. literally accomplished nothing efforts thwart nazi cunt. @url,1
@user @user cd projekt ducking socially mongoloid.,1
cunt everyone smell it.,1
@user mn officers sign clock book clocks advanced retarded...!! ,1
think pittsburgh synagogue shooting hate related ... retarded.,0
@user keep energy nigger,1
retard triggered fire alarm 2 morning....,1
cause utter bs lying feminazi ford. @url,0
@user @user @user defense fucking retard,1
@user u dont negro,1
@user @user @user real women. feminazis. demean men fun ta @url,1
@user violence?you got mad year ago saying shithole countries. make minds. @url,1
@user trump hater retard like race first person say dumbest shit trumps daugh @url,1
also dog retarded @url,1
@user uni faggot,1
@user thanks win fucking mongoloid learn actually read understand rules stupid fucking scumbag,1
twitter shithole country @url,0
sarah silverman ... gone ... full left wing retard intelligence pussy hat wearing godless hate anything tr @url,1
